venue_id,venue_name,venue_address,events_count,sample_url
350,國家兩廳院 國家音樂廳,台北市中正區中山南路21-1號,2,https://ticketplus.com.tw/activity/263ca8db30c096ed5ccae921bb76d5b2
51,高雄巨蛋（k-arena）,高雄市左營區博愛二路757號,2,https://tixcraft.com/activity/detail/26_itzy
46,taipei international convention center (ticc),台北市信義區信義路五段1號,1,https://tixcraft.com/activity/detail/26_kodaline_c
329,花漾展演空間 hana space 演出地址：台北市中正區仁愛路一段 17 號 10 樓 啟售時間：,台北市中正區仁愛路一段17號10樓,1,https://ticketplus.com.tw/activity/c79ab0afac655d14c6292b5a9e711994
364,杰克音樂 jack studio,台北市萬華區昆明街76號B1,1,https://ticketplus.com.tw/activity/14dbfc6b02491955e704361f85867a7e
82,新竹縣體育館,新竹縣竹北市福興東路一段197號,1,https://tixcraft.com/activity/detail/25_lioneers
85,新竹縣立體育館,新竹縣竹北市福興東路一段197號,1,https://tixcraft.com/activity/detail/25_lioneers_p
70,台北流行音樂中心,台北市南港區市民大道八段99號,1,https://tixcraft.com/activity/detail/26_chyiyu
328,"台北左輪 票 價：預售票 nt$ 800 / 現場票 nt$ 1,000（若預售完售不再加開現場票，",台北市中正區羅斯福路一段1-1號,1,https://ticketplus.com.tw/activity/139299225982311139b07ba2bff1dfa1
42,高雄國家體育場 (世運主場館),高雄市左營區世運大道100號,1,https://tixcraft.com/activity/detail/26_malone
54,出席成員暨握手時間表】,依活動現場公告為準,1,https://tixcraft.com/activity/detail/26_tpe4811th
358,the hook 活動地址：台北市信義區松壽路22號b1 活動門票： 影音分享票：1000元,台北市信義區松壽路22號B1,1,https://ticketplus.com.tw/activity/855545b98229fb404775ae0f0b48bf8f
39,sound live house,台中市中區中山路108號,1,https://www.indievox.com/activity/detail/26_iv0399823
43,高雄國家體育場 (世運主場館) kaohsiung national stadium,高雄市左營區世運大道100號,1,https://tixcraft.com/activity/detail/26_malone_c
50,高雄流行音樂中心海音館,高雄市鹽埕區真愛路1號,1,https://tixcraft.com/activity/detail/26_mltr
52,高雄流行音樂中心(海音館),高雄市鹽埕區真愛路1號,1,https://tixcraft.com/activity/detail/26_kamenashi
311,corner house,台北市南港區忠孝東路六段21號1樓,1,https://ticketplus.com/activity/38b83788bfc0045822b58bd32eaaa113
83,es con field hokkaido coca-cola gate 左側售票處,北海道北広島市Fビレッジ1番地,1,https://tixcraft.com/activity/detail/26_hnf
368,"foreign language teaching and resource center theater, national taiwan university",台北市大安區羅斯福路四段1號,1,https://ticketplus.com/activity/94f39d68d092d8cf25f033c525928e76
369,"foreign language teaching and resource center theater, national taiwan university / foreign language teaching and resource center theater, national taiwan university",台北市大安區羅斯福路四段1號,1,https://ticketplus.com/activity/d6aedd836d1788dc3540a000ffe63241
309,hanaspace,台北市中正區仁愛路一段17號10樓,1,https://ticketplus.com/activity/e8960ccc14b2fdd7bc7baf16a01d1f25
84,mizuho paypay dome fukuoka,福岡県福岡市中央区地行浜2丁目2-2,1,https://tixcraft.com/activity/detail/26_softbankh
49,高雄巨蛋（k arena）,高雄市左營區博愛二路757號,1,https://tixcraft.com/activity/detail/26_exokh
74,高雄巨蛋,高雄市左營區博愛二路757號,1,https://tixcraft.com/activity/detail/26_della
38,seety新城視 展演空間 🐶 台中站 演出日期｜2026.04.26（日）19:30,台南市中西區民族路三段190號B1之2,1,https://www.indievox.com/activity/detail/26_iv0397539
24,音浪塔四樓常設展,高雄市鹽埕區真愛路1號,0,
29,野地方 Wildlab,台北市中正區杭州南路一段147號B1,0,
64,國立體育大學綜合體育館（林口體育館）,桃園市龜山區文化一路250號,0,
34,迴響音樂展演空間 SOUND Live House,台中市中區中山路108號,0,
25,迴響音樂展演空間,台中市中區中山路108號,0,
288,輔仁大學 中美堂,新北市新莊區中正路510號,0,
347,臺北流行音樂中心 表演廳,台北市南港區市民大道八段99號,0,
80,臺北大巨蛋,台北市信義區忠孝東路四段515號,0,
375,臺中市立豐原體育場,台中市豐原區豐北街221號,0,
266,演出現場售票服務台,依活動現場公告為準,0,
357,微風廣場 MOONDOG 演出地址：臺北市松山區復興南路一段39號9F 出 席：夏和熙、楊翹碩、,台北市松山區復興南路一段39號9樓,0,
30,@soundlivehouse,台中市中區中山路108號,0,
17,台中中興大學惠蓀堂,台中市南區興大路145號,0,
26,revolver,台北市中正區羅斯福路一段1-1號,0,
150,Online Event,線上活動,0,
356,MOONDOG,台北市松山區復興南路一段39號9樓,0,
91,KKTIX Live,線上活動,0,
227,Continue Music Taipei [延聲音樂] | Revolver Bar Taipei [左輪酒吧] | Paramount Bar Kaohsiung [百樂門酒館],依各場次活動現場公告為準,0,
133,Continue Music [延聲音樂] & Paramount Bar [百樂門酒館],依各場次活動現場公告為準,0,
